Date,DateKey,Month,Day,WeekDayName
2022-10-01,20221001,10,1,Saturday
2022-10-02,20221002,10,2,Sunday
2022-10-03,20221003,10,3,Monday
2022-10-04,20221004,10,4,Tuesday
2022-10-05,20221005,10,5,Wednesday
2022-10-06,20221006,10,6,Thursday
2022-10-07,20221007,10,7,Friday
2022-10-08,20221008,10,8,Saturday
2022-10-09,20221009,10,9,Sunday
2022-10-10,20221010,10,10,Monday
2022-10-11,20221011,10,11,Tuesday
2022-10-12,20221012,10,12,Wednesday
2022-10-13,20221013,10,13,Thursday
2022-10-14,20221014,10,14,Friday
2022-10-15,20221015,10,15,Saturday
2022-10-16,20221016,10,16,Sunday
2022-10-17,20221017,10,17,Monday
2022-10-18,20221018,10,18,Tuesday
2022-10-19,20221019,10,19,Wednesday
2022-10-20,20221020,10,20,Thursday
2022-10-21,20221021,10,21,Friday
2022-10-22,20221022,10,22,Saturday
2022-10-23,20221023,10,23,Sunday
2022-10-24,20221024,10,24,Monday
2022-10-25,20221025,10,25,Tuesday
2022-10-26,20221026,10,26,Wednesday
2022-10-27,20221027,10,27,Thursday
2022-10-28,20221028,10,28,Friday
2022-10-29,20221029,10,29,Saturday
2022-10-30,20221030,10,30,Sunday
2022-10-31,20221031,10,31,Monday
2022-11-01,20221101,11,1,Tuesday
2022-11-02,20221102,11,2,Wednesday
2022-11-03,20221103,11,3,Thursday
2022-11-04,20221104,11,4,Friday
2022-11-05,20221105,11,5,Saturday
2022-11-06,20221106,11,6,Sunday
2022-11-07,20221107,11,7,Monday
2022-11-08,20221108,11,8,Tuesday
2022-11-09,20221109,11,9,Wednesday
2022-11-10,20221110,11,10,Thursday
2022-11-11,20221111,11,11,Friday
2022-11-12,20221112,11,12,Saturday
2022-11-13,20221113,11,13,Sunday
2022-11-14,20221114,11,14,Monday
2022-11-15,20221115,11,15,Tuesday
2022-11-16,20221116,11,16,Wednesday
2022-11-17,20221117,11,17,Thursday
2022-11-18,20221118,11,18,Friday
2022-11-19,20221119,11,19,Saturday
2022-11-20,20221120,11,20,Sunday
2022-11-21,20221121,11,21,Monday
2022-11-22,20221122,11,22,Tuesday
2022-11-23,20221123,11,23,Wednesday
2022-11-24,20221124,11,24,Thursday
2022-11-25,20221125,11,25,Friday
2022-11-26,20221126,11,26,Saturday
2022-11-27,20221127,11,27,Sunday
2022-11-28,20221128,11,28,Monday
2022-11-29,20221129,11,29,Tuesday
2022-11-30,20221130,11,30,Wednesday
2022-12-01,20221201,12,1,Thursday
2022-12-02,20221202,12,2,Friday
2022-12-03,20221203,12,3,Saturday
2022-12-04,20221204,12,4,Sunday
2022-12-05,20221205,12,5,Monday
2022-12-06,20221206,12,6,Tuesday
2022-12-07,20221207,12,7,Wednesday
2022-12-08,20221208,12,8,Thursday
2022-12-09,20221209,12,9,Friday
2022-12-10,20221210,12,10,Saturday
2022-12-11,20221211,12,11,Sunday
2022-12-12,20221212,12,12,Monday
2022-12-13,20221213,12,13,Tuesday
2022-12-14,20221214,12,14,Wednesday
2022-12-15,20221215,12,15,Thursday
2022-12-16,20221216,12,16,Friday
2022-12-17,20221217,12,17,Saturday
2022-12-18,20221218,12,18,Sunday
2022-12-19,20221219,12,19,Monday
2022-12-20,20221220,12,20,Tuesday
2022-12-21,20221221,12,21,Wednesday
2022-12-22,20221222,12,22,Thursday
2022-12-23,20221223,12,23,Friday
2022-12-24,20221224,12,24,Saturday
2022-12-25,20221225,12,25,Sunday
2022-12-26,20221226,12,26,Monday
2022-12-27,20221227,12,27,Tuesday
2022-12-28,20221228,12,28,Wednesday
2022-12-29,20221229,12,29,Thursday
2022-12-30,20221230,12,30,Friday
2022-12-31,20221231,12,31,Saturday
